"affiliator","affiliatee"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x3626970f86f18f296c5f9276a3e51fe32460b4a77ef4ae323e1a22d6c81aa92f"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x361cbd3d08655b47a42ae2389f56ae24ac07bf70371949ca9d6b83d1c6303f5f"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xec2a8d4bf4c59adc4855a7b86b8f18bf5de972a7f7d472c4b2990e37d06bb773"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xdebf93987be394ab391c9e4343a71d8134b0a134229b3f254011966a48f59b6a"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xbece37db6f56bc73014570a8655d161e61ef457f657b954c30c2f82a5d561868"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xf6a310b681cb9b422aa5bb5081ed02c932a430fd42c63fc942de38fbe95b2d08"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xee5fa0199aaad7d5c6136040be1ce18bc0779662ea3d138ea07e0887262ae64a"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xfe12f7fd9f31ddd7e715a7f56db26cbd9fd3014d3fcfac5fccbc4ad853fb2672"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x86c3f940f316b0a6c8544b6757ad08b631a0de5f79ec3c48cb69afb75159e54f"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x4242c637659b9889d579cbcfafdb79254de7b5aa09db9492188af151d2d70507"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x0caf7f34407b2926219d7020097e51bde28d21abbbd86a93e5511204c6977f20"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xd4ca9d91e5098214c74ef843bf3eae83eb8b4ff6c70daf799d15ac1813f14b74"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x146ecd9bcc20a95356ed348b96812d12d9e736a493ec9b88678c49aba42f5a11"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x80377367e777668565c8d5b2c45dbfb4c82c4b266fd4036ca41c6100b0911d4d"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xfeda28e318f95786bcc40a79ef7299e35bc00adfba69c1c25634fc92e49d8c34"
"0x4e400555d8ee1d4752be47eff37195a8926a2fae9f874773ac49cdc2fa47f703","0x5cd6e7ea6c98f7a63d62ec58e35ce859326996ec895d6298cbaff87fa106c918"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xf8a4f66743643c32c3a31678a0c9a6c94b99160363f60e54bc11d2bfbdfceb3a"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xc29d14a46ae60f257dc3a40d941d9fe797f9222f189618b2d255dcff73e2f054"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xaea71de6b0f15687c94c9b8172649c9a6fdd94d90c2f062f738eb34436d0900e"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x90e1704a01b4e05fa09b818ead7b7450286bec1c3a51c9d42dbb542d24cc7610"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x1ec6a787f3295b762f913c22a20ec967f3bfdffc2e440b8e7c60e9e4e9657915"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xfceb91760925a4d53435cb5d25f4524403def0c6a88b83713062ccbd3266326a"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xfca5cb72583d1439aa6b85c55848816839c18b9375ddf277ac37add49eba6265"
